,ensembl_gene_id,symbol
0,ENSG00000188186,LAMTOR4
1,ENSG00000161011,SQSTM1
2,ENSG00000127184,COX7C
3,ENSG00000166710,B2M
4,ENSG00000108679,LGALS3BP
5,ENSG00000113140,SPARC
6,ENSG00000124172,ATP5F1E
7,ENSG00000170421,KRT8
8,ENSG00000110955,ATP5F1B
9,ENSG00000111057,KRT18
10,ENSG00000117984,CTSD
11,ENSG00000136156,ITM2B
12,ENSG00000150093,ITGB1
13,ENSG00000112081,SRSF3
14,ENSG00000143774,GUK1
15,ENSG00000163453,IGFBP7
16,ENSG00000163466,ARPC2
17,ENSG00000124795,DEK
18,ENSG00000158710,TAGLN2
19,ENSG00000109971,HSPA8
20,ENSG00000142192,APP
21,ENSG00000096384,HSP90AB1
22,ENSG00000080824,HSP90AA1
23,ENSG00000105323,HNRNPUL1
24,ENSG00000152795,HNRNPDL
25,ENSG00000170144,HNRNPA3
26,ENSG00000126267,COX6B1
27,ENSG00000111775,COX6A1
28,ENSG00000111481,COPZ1
29,ENSG00000140264,SERF2
30,ENSG00000125534,PPDPF
31,ENSG00000108518,PFN1
32,ENSG00000197746,PSAP
33,ENSG00000110958,PTGES3
34,ENSG00000070756,PABPC1
35,ENSG00000198898,CAPZA2
36,ENSG00000104904,OAZ1
37,ENSG00000106153,CHCHD2
38,ENSG00000136238,RAC1
39,ENSG00000204628,RACK1
40,ENSG00000147140,NONO
41,ENSG00000102317,RBM3
42,ENSG00000145494,NDUFS6
43,ENSG00000067560,RHOA
44,ENSG00000115053,NCL
45,ENSG00000213719,CLIC1
46,ENSG00000197747,S100A10
47,ENSG00000163191,S100A11
48,ENSG00000197956,S100A6
49,ENSG00000100345,MYH9
50,ENSG00000108821,COL1A1
51,ENSG00000164692,COL1A2
52,ENSG00000168542,COL3A1
53,ENSG00000115677,HDLBP
54,ENSG00000135404,CD63
55,ENSG00000167996,FTH1
56,ENSG00000107223,EDF1
57,ENSG00000063046,EIF4B
58,ENSG00000161960,EIF4A1
59,ENSG00000140416,TPM1
60,ENSG00000213585,VDAC1
61,ENSG00000075624,ACTB
62,ENSG00000150991,UBC
63,ENSG00000106682,EIF4H
64,ENSG00000167658,EEF2
65,ENSG00000205542,TMSB4X
66,ENSG00000084207,GSTP1
67,ENSG00000254772,EEF1G
68,ENSG00000114942,EEF1B2
69,ENSG00000115414,FN1
70,ENSG00000074800,ENO1
71,ENSG00000087460,GNAS
72,ENSG00000087086,FTL
73,ENSG00000119888,EPCAM
74,ENSG00000221983,UBA52
75,ENSG00000156467,UQCRB
76,ENSG00000136810,TXN
77,ENSG00000078369,GNB1
78,ENSG00000129351,ILF3
79,ENSG00000075415,SLC25A3
80,ENSG00000167978,SRRM2
81,,IGKC
82,ENSG00000142089,IFITM3
83,ENSG00000115541,HSPE1
84,ENSG00000164713,BRI3
85,ENSG00000172270,BSG
86,ENSG00000107581,EIF3A
87,ENSG00000171747,LGALS4
88,ENSG00000170296,GABARAP
89,ENSG00000178741,COX5A
90,ENSG00000143321,HDGF
91,ENSG00000127324,TSPAN8
92,ENSG00000243678,NME2
93,ENSG00000102265,TIMP1
94,ENSG00000143870,PDIA6
95,ENSG00000117523,PRRC2C
96,ENSG00000169564,PCBP1
97,ENSG00000241468,ATP5MF
98,,HIST1H1E
99,ENSG00000196924,FLNA
